,keys,values
2060,The Rules of Attraction,"['Velvet Goldmine', 'Prêt-à-Porter', 'Lethal Weapon 3', 'Caddyshack', 'The Last King of Scotland', 'Die Fälscher', 'Idioterne', 'The Five Senses', 'Layer Cake', 'The Man Who Fell to Earth', 'Crank', 'Stage Beauty', 'P.S.', 'Quills', 'Private Parts', 'Forgetting Sarah Marshall', 'The Libertine', '37°2 le matin', 'Role Models', '8MM', 'Spun', '28 Days Later...', 'Marie Antoinette', 'Nattevagten', 'Kinsey', 'Dr T and the Women', 'Amistad', 'Any Given Sunday', 'Message in a Bottle', 'The Lookout', 'Police Academy 2: Their First Assignment', 'The Rules of Attraction', 'Splash']"
2061,The Warriors,"['The In-Laws', 'Gangs of New York', 'Regarding Henry', 'Cast Away', 'Autumn in New York', 'Joyeux Noël', 'Escape from New York', 'Moonstruck', 'Ghostbusters II', 'Apollo 13', 'Big Daddy', ""Who's That Girl"", 'The Out-of-Towners', 'Home Alone 2: Lost in New York', 'The Pianist', 'Stranger Than Paradise', 'Save the Last Dance', 'Sea of Love', 'The Prince of Tides', 'Annie', 'American Gangster', ""Gentleman's Agreement"", 'Alvin and the Chipmunks', 'Coming to America', 'Everyone Says I Love You', 'Ghost', 'One Fine Day', 'Fools Rush In', 'Red Planet', 'The Bone Collector', 'King Kong', 'Assault on Precinct 13', 'Fast Food Fast Women', 'Dan in Real Life', 'Mad Hot Ballroom', 'Money Train', 'Serpico', 'Mighty Aphrodite', 'Hotaru no haka', 'The Night Listener', 'I Am Legend', 'Big', 'How to Lose a Guy in 10 Days', 'War of the Worlds', 'Ghost Busters', 'A Home at the End of the World', 'End of Days', 'The Warriors', 'The Weather Man', 'Lionheart', 'Capturing the Friedmans', 'American Dreams', 'Arsenic and Old Lace', 'Raging Bull', 'The Wiz', 'Midnight Cowboy', 'Hello, Dolly!', 'Desperately Seeking Susan', 'To Wong Foo Thanks for Everything, Julie Newmar', 'Alive', 'Splash', 'Enchanted']"
2062,Collateral,"['Collateral', 'The Out-of-Towners', 'Crocodile Dundee in Los Angeles', 'Clueless', 'Taxi Driver', 'Falling Down', 'Gods and Monsters', ""It's a Mad Mad Mad Mad World"", 'Bean', 'Taxi', 'The Fifth Element', 'Die Hard', 'In Good Company', 'Playing by Heart', 'Liar Liar', 'Conspiracy Theory', 'Taxi 3', 'Beverly Hills Cop III', 'Night on Earth']"
2063,Saints and Soldiers,"['Renaissance Man', 'Letters from Iwo Jima', 'The Young Lions', 'The Caine Mutiny', 'Europa', 'Charlotte Gray', 'Black Hawk Down', 'Bedknobs and Broomsticks', 'Gojira', 'The Glenn Miller Story', 'The Longest Day', 'Buffalo Soldiers', 'Battle of the Bulge', 'Saints and Soldiers', 'A Midnight Clear', 'Head in the Clouds', ""The Man Who Wasn't There"", 'The End of the Affair', 'Hotaru no haka', 'Jarhead', ""Kelly's Heroes"", 'A Christmas Story', 'Windtalkers', 'The Great Escape', 'Seven Years in Tibet', 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe', 'Empire of the Sun', 'The Black Dahlia', 'Saving Private Ryan', 'Lust och fägring stor', 'Barton Fink', 'Stripes', 'A Walk in the Clouds']"
2064,Mean Creek,"['American Graffiti', ""Dead Man's Shoes"", 'Moonstruck', 'The Princess Diaries', 'Todo sobre mi madre', 'Trois couleurs: Rouge', 'The Cable Guy', 'The Chronicles of Narnia: Prince Caspian', 'The Fisher King', 'Coach Carter', 'The Iron Giant', 'The Outsiders', 'When a Stranger Calls', 'Hellboy II: The Golden Army', 'Sling Blade', ""Can't Hardly Wait"", 'One Fine Day', 'Backdraft', 'Lost in Translation', 'Dances with Wolves', 'Addams Family Values', 'Easy Rider', 'Cidade dos Homens', 'Stand by Me', 'Rain Man', 'Say Anything...', 'Titus', 'The Land Before Time', 'Friends with Money', 'Notting Hill', 'Fried Green Tomatoes', 'Harry Potter and the Order of the Phoenix', 'Knockaround Guys', 'The Juror', 'The Family Stone', 'Better Off Dead...', 'Beautiful Girls', 'Step Brothers', 'Thumbsucker', 'Dirty Dancing', 'The Sisterhood of the Traveling Pants', ""The 'burbs"", 'Elephant', 'Fright Night', 'Black Sheep', 'E.T.: The Extra-Terrestrial', 'Hitch', 'Mean Creek', 'Au revoir les enfants', 'Midnight Cowboy', 'Swing Kids', 'Glory Road', 'Murder by Numbers', 'The Bucket List', 'Napoleon Dynamite', 'The Break-Up', 'Clerks.', 'A River Runs Through It']"
2065,Der Untergang,"['Letters from Iwo Jima', 'To Be or Not to Be', 'Videodrome', 'The Young Lions', 'The Hudsucker Proxy', 'The Hours', 'Dead Poets Society', 'House of Sand and Fog', 'Romeo + Juliet', 'Stalag 17', 'Die Blechtrommel', 'Enigma', 'La vita è bella', 'Catch-22', 'The Longest Day', 'Seppuku', 'Operation Crossbow', 'Pearl Harbor', 'Hope and Glory', 'Where Eagles Dare', 'The Dirty Dozen', 'Girl, Interrupted', 'Battle of Britain', 'What Dreams May Come', 'Atonement', 'The Great Escape', 'Jisatsu sâkuru', 'Der Himmel über Berlin', 'Pump Up the Volume', 'U-571', 'Penelope', 'Destination Tokyo', 'Der Untergang', 'The Virgin Suicides', 'Empire of the Sun', 'Festen', 'Saving Private Ryan']"
2066,Cinderella Man,"['Jalla! Jalla!', 'Without a Paddle', 'Swingers', 'Million Dollar Baby', 'Of Mice and Men', 'Snatch.', 'I Spy', 'The Shawshank Redemption', 'The Boys in the Band', 'Rocky II', 'Cinderella Man', 'The Odd Couple', 'Saving Silverman', 'Deliverance', 'Rocky', 'The Deer Hunter', 'A Home at the End of the World', 'Rocky V', 'Bottle Rocket']"
2067,Everything Is Illuminated,"['The Guns of Navarone', 'Fiddler on the Roof', 'Lenny', 'Das schreckliche Mädchen', 'Europa', 'Stalag 17', 'La vita è bella', 'Europa Europa', 'Triumph des Willens', 'Clockers', 'Everything Is Illuminated', ""Schindler's List"", 'Hellboy', 'Casablanca', 'Cabaret', 'Au revoir les enfants', 'Rat Race', 'The Sound of Music', 'The Remains of the Day', 'Raiders of the Lost Ark']"
2068,The World's Fastest Indian,"['Whale Rider', 'Ed Wood', 'Wild Wild West', ""The World's Fastest Indian"", 'Seven Years in Tibet', 'The Queen']"
2069,I.Q.,"['Searching for Bobby Fischer', 'Blast from the Past', 'Phenomenon', 'Good Will Hunting', 'I.Q.']"
2070,Vegas Vacation,"['Police Academy 5: Assignment: Miami Beach', 'The Pink Panther', 'Snakes on a Plane', 'Vegas Vacation', 'Johnny English', 'City Lights', 'George of the Jungle', 'Naked Gun 33 1/3: The Final Insult', 'Executive Decision', 'Bio-Dome', 'Airplane!']"
2071,Vacation,"[""Muriel's Wedding"", 'Vacation', 'Eulogy', 'My Big Fat Greek Wedding', 'Junebug', 'The United States of Leland', 'The Ref', 'Saw III', 'Maverick', 'Transporter 2', 'Westworld', 'Les vacances de Monsieur Hulot', 'The Outsiders', 'A Shot in the Dark', 'Harry Potter and the Chamber of Secrets', '2 Days in Paris', 'Cry-Baby', 'Hellraiser: Bloodline', 'Happiness', 'RV', 'Divine Secrets of the Ya-Ya Sisterhood', 'Indiana Jones and the Kingdom of the Crystal Skull', 'Before Sunset', 'Lost in America', 'Easy Rider', 'Police Academy 6: City Under Siege', 'The Legend of Zorro', 'Bad Boys II', 'The Naked Gun 2½: The Smell of Fear', 'Camp', 'Little Miss Sunshine', 'Ging chat goo si 3: Chiu kup ging chat', 'Go', 'Bean', 'Manon des sources', 'Shrek 2', 'Godzilla', ""City Slickers II: The Legend of Curly's Gold"", 'Highlander III: The Sorcerer', 'Christmas Vacation', 'Rocky III', 'The War of the Roses', 'Lara Croft Tomb Raider: The Cradle of Life', 'Step Brothers', 'The Straight Story', 'Wild Hogs', 'The Gods Must Be Crazy II', 'Under the Tuscan Sun', 'The Sisterhood of the Traveling Pants', 'Space Jam', 'Kung Fu Panda', 'Music and Lyrics', 'The Adventures of Priscilla, Queen of the Desert', 'The Lion in Winter', 'Kung fu', 'The Cannonball Run', 'Raging Bull', 'Superman II', ""Look Who's Talking Too"", 'One True Thing', 'Road Trip', 'Secrets & Lies', 'Rambo: First Blood Part II', 'Duo luo tian shi', 'Grace Is Gone', ""This Boy's Life"", 'European Vacation', 'The Bucket List', 'Sideways', 'The Royal Tenenbaums', 'Bride of Frankenstein']"
2072,Bull Durham,"['Roxanne', 'Stuart Little 2', 'A League of Their Own', 'Manhattan', 'The Truth About Cats & Dogs', 'Bad News Bears', 'First Knight', 'Reservation Road', ""Bridget Jones's Diary"", 'Imagine Me & You', 'Casablanca', ""America's Sweethearts"", 'Bull Durham', 'Field of Dreams', 'Eight Men Out', 'Rushmore', 'Keeping the Faith', 'The Sandlot', 'The Philadelphia Story', 'Closer']"
2073,Executive Decision,"['Collateral Damage', 'Gwoemul', ""The Astronaut's Wife"", 'Die Hard: With a Vengeance', 'The Specialist', 'Air Force One', 'The Negotiator', 'Six Days Seven Nights', 'Apollo 13', 'Executive Decision', 'Team America: World Police', 'Airplane!', 'Patriot Games', 'The Guardian', 'Star Wars: Episode V - The Empire Strikes Back', 'Blown Away', 'Passenger 57', 'Air America', 'Snakes on a Plane', 'Beaufort', 'Commando', 'Speed', 'Jimmy Neutron: Boy Genius', 'The Long Good Friday', 'One Hundred and One Dalmatians', 'Cowboy Bebop: Tengoku no tobira', 'American Ninja 3: Blood Hunt', 'Toy Soldiers', 'Labyrinth', 'Titan A.E.', 'Antz', 'The Naked Gun: From the Files of Police Squad!', 'Vegas Vacation', 'Drop Zone', 'Beneath the Planet of the Apes', 'Thunderbirds', 'The X Files']"
2074,Amores Possíveis,"['Prêt-à-Porter', 'Roxanne', 'Mystic Pizza', 'One Hour Photo', 'Hotel Rwanda', 'Como agua para chocolate', 'Alpha Dog', 'Lucía y el sexo', 'Saw III', 'About Schmidt', 'Breaking the Waves', 'Wedding Crashers', 'Timecop', 'The Girl Next Door', 'Gegen die Wand', 'The Last Kiss', 'Kramer vs. Kramer', 'Private Parts', 'Le professionnel', 'Jules et Jim', 'Seven Brides for Seven Brothers', 'Derailed', 'Beyond the Sea', 'Fast Food Fast Women', 'Tystnaden', 'The Sweet Hereafter', 'Not Another Teen Movie', 'Believers', ""Something's Gotta Give"", 'Husbands and Wives', 'Chasing Liberty', 'Monsoon Wedding', 'Marie Antoinette', 'The Omen', 'Hatuna Meuheret', 'The Heartbreak Kid', 'A History of Violence', 'Match Point', ""Le fabuleux destin d'Amélie Poulain"", 'Se, jie', 'The Constant Gardener', 'Miss Pettigrew Lives for a Day', 'The Story of Us', 'Stakeout', 'The Faculty', 'The Dreamers', 'McCabe & Mrs. Miller', 'Just Married', 'Amores Possíveis', 'Adaptation.', 'The Pursuit of Happyness', 'Saw IV', 'Chaplin', 'Le grand bleu', 'Cat People']"
2075,Jackass Number Two,"['All the Right Moves', 'Shallow Grave', 'Die Fälscher', 'The Grudge', 'Mrs Brown', 'Trainspotting', 'Walk on Water', 'Jackass Number Two', 'Gegen die Wand', 'Forgetting Sarah Marshall', 'The Player', 'Titus', 'The Boys in the Band', '8MM', 'A Room with a View', '28 Days Later...', 'Hatuna Meuheret', 'The Santa Clause 2', 'Old School', 'Ken Park', 'The Gods Must Be Crazy II', 'The Talented Mr. Ripley', 'Blinkende lygter', 'Mr. & Mrs. Smith', 'Envy', 'Super Troopers', 'The World According to Garp', 'Closer']"
2076,Othello,"['Reality Bites', 'The Importance of Being Earnest', 'Meet Me in St. Louis', 'Noel', 'The Thing Called Love', 'Moonstruck', 'Mission to Mars', 'Como agua para chocolate', 'The Notebook', 'Untamed Heart', 'Romeo + Juliet', 'Breaking the Waves', 'Legend', 'White Palace', 'P.S.', 'Ghost', 'Love Actually', 'Casanova', ""My Best Friend's Wedding"", 'The Fountain', 'Sunset Blvd.', ""Miller's Crossing"", 'Moulin Rouge!', 'Abre los ojos', 'The Butterfly Effect', 'Amadeus', 'Benny & Joon', 'Meet Joe Black', 'Indecent Proposal', 'Othello', 'Punch-Drunk Love', 'La jetée', 'Il postino', 'Raging Bull', 'Practical Magic', 'The Searchers', 'Witness', 'August Rush', 'Jing Ke ci Qin Wang', 'Rushmore', 'Keeping the Faith', 'Sien nui yau wan', 'Win a Date with Tad Hamilton!', 'Splash', 'Bottle Rocket']"
2077,Super Mario Bros.,"['Shrek 2', 'Star Wars', 'Mortal Kombat', 'Mononoke-hime', 'The Princess Bride', 'Final Fantasy: The Spirits Within', 'The Princess Diaries', 'Final Fantasy VII: Advent Children', 'Lara Croft Tomb Raider: The Cradle of Life', 'The Princess Diaries 2: Royal Engagement', 'Kaze no tani no Naushika', 'Bride & Prejudice', 'Congo', 'Aladdin', 'Super Mario Bros.']"
2078,Homeward Bound: The Incredible Journey,"['Without a Paddle', 'The Fabulous Baker Boys', 'Garfield: A Tail of Two Kitties', 'Old Yeller', 'Richard III', 'Wallace & Gromit: The Best of Aardman Animation', 'Idioterne', 'A Boy and His Dog', 'How the Grinch Stole Christmas', 'Idiocracy', 'Beethoven', 'Garden State', 'Aguirre, der Zorn Gottes', 'Annie', 'The Brave One', 'Stalker', 'Lady and the Tramp', 'Hellboy II: The Golden Army', 'Uncle Buck', 'The Accidental Tourist', 'Best in Show', 'Homeward Bound: The Incredible Journey', 'Bio-Dome', 'While You Were Sleeping', 'The AristoCats', 'Les triplettes de Belleville', 'Major League', ""Logan's Run"", 'Ace Ventura: Pet Detective', 'Austin Powers: International Man of Mystery', 'The Butterfly Effect', 'Majo no takkyûbin', 'Slaughterhouse-Five', 'Wallace & Gromit in The Wrong Trousers', 'One Hundred and One Dalmatians', 'Diamonds Are Forever', 'Prime', 'Star Trek: Generations', 'Road to Perdition', 'Legends of the Fall', ""You've Got Mail"", 'Father of the Bride Part II', 'Hiroshima mon amour', 'Finding Neverland', 'Danny the Dog', 'The Wiz', 'King Arthur', 'Balto', ""Cat's Eye"", 'Must Love Dogs', 'Wallace & Gromit in The Curse of the Were-Rabbit', 'The Mexican', 'Chicken Little', 'A River Runs Through It']"
2079,'Crocodile' Dundee II,"['Scarface', 'Toy Soldiers', 'Funny Games U.S.', 'True Romance', 'The Taking of Pelham One Two Three', 'Die Hard', ""'Crocodile' Dundee II"", 'John Q', 'Hostage', 'The Ref', 'The Cable Guy', 'Proof of Life', 'The Mexican', 'Thunderbirds', 'Phone Booth', 'Traffic', 'Inside Man']"
2080,Blast from the Past,"['Blast from the Past', 'Jack Frost', 'Dumbo', 'White Noise', 'Star Wars: Episode VI - Return of the Jedi', 'Junebug', 'Magnolia', 'The Forgotten', 'Elf', 'Two for the Money', 'Monster', ""L'enfant"", 'What Happens in Vegas', 'The Lost Boys', 'Terminator 2: Judgment Day', 'Catch Me If You Can', 'Parenthood', 'One Fine Day', 'Beautiful Thing', 'Hook', 'Blow Dry', 'Yankee Doodle Dandy', 'The Grifters', 'Son of Rambow', 'A Bronx Tale', 'Me and You and Everyone We Know', 'Role Models', 'Good Will Hunting', 'Big Fish', 'Les quatre cents coups', 'City by the Sea', 'Knockaround Guys', 'Prime', 'Unbreakable', 'Searching for Bobby Fischer', 'Phenomenon', 'In the Name of the Father', 'Swing Kids', 'Indiana Jones and the Last Crusade', 'The Three Musketeers', 'Artificial Intelligence: AI', 'Kazaam', 'I.Q.', ""La marche de l'empereur""]"
2081,The Boondock Saints,"['The Boondock Saints', 'Hellboy II: The Golden Army', 'Lord of the Flies', 'Withnail & I', 'Gods and Monsters', 'Death to Smoochy', 'Nell', 'Stay', 'Wonder Boys', 'The Boys in the Band', 'Dead Ringers', 'Kinsey', 'The Talented Mr. Ripley', 'Breakfast on Pluto', 'The Celluloid Closet', 'Mr. & Mrs. Smith', 'Movie Crazy', 'Efter brylluppet', 'Remember the Titans']"
2082,Red Dragon,"['Striptease', 'Harry Potter and the Prisoner of Azkaban', 'Donnie Brasco', 'The Witches', 'Dancer in the Dark', 'The Last of the Mohicans', 'Noel', 'The Grapes of Wrath', 'The Hunchback of Notre Dame', 'Manhunter', 'Little Women', 'House of Sand and Fog', 'Red Dragon', 'The Man Who Fell to Earth', 'Doctor Dolittle', 'Die Blechtrommel', 'Mutiny on the Bounty', 'Shaft', 'Forrest Gump', 'Catch-22', 'Murder on the Orient Express', 'Snakes on a Plane', 'The Bone Collector', 'Terms of Endearment', 'Waking the Dead', 'Treasure Island', ""Harry Potter and the Sorcerer's Stone"", 'The Great Train Robbery', 'Dracula', 'The Railway Children', 'Chitty Chitty Bang Bang', 'The Night Listener', 'Emma', 'Butterflies Are Free', 'Gone with the Wind', 'There Will Be Blood', 'Sense and Sensibility', 'Lolita', 'After the Sunset', 'Cold Mountain', 'Frailty', 'Midnight Cowboy', 'Payback', ""The Making of 'Along Came a Spider'"", 'Jumper', 'Family Plot', 'Fahrenheit 451', 'Leaving Las Vegas', 'Naked Lunch', 'To Kill a Mockingbird']"
2083,The Dream Catcher,"['Running on Empty', 'Mean Girls', 'Walkabout', 'School Ties', 'Riding in Cars with Boys', 'The Man Without a Face', 'Nuovo Cinema Paradiso', 'Mitt liv som hund', ""Can't Hardly Wait"", 'Bom yeoreum gaeul gyeoul geurigo bom', 'Lucas', 'A Bronx Tale', 'Ginger Snaps', 'Varsity Blues', 'Les quatre cents coups', 'Stand by Me', 'The Yearling', 'Biloxi Blues', 'Dirty Dancing', 'Mermaids', 'Ghost World', 'A Guide to Recognizing Your Saints', 'A Little Romance', ""Don't Tell Mom the Babysitter's Dead"", 'The Dream Catcher', 'Sky High', 'Rushmore', ""Angela's Ashes"", 'A River Runs Through It']"
2084,Secondhand Lions,"['Multiplicity', 'The Last Starfighter', 'RoboCop 2', 'The Three Musketeers', 'Secondhand Lions', 'DragonHeart', 'Huo Yuan Jia', 'Undercover Brother']"
2085,Saw,"['The Sixth Sense', 'Scream 3', 'Fight Club', 'The Usual Suspects', 'The Others', 'Deathtrap', 'The Skeleton Key', 'Les diaboliques', 'The Bourne Ultimatum', 'Cypher', 'Frailty', 'Sleuth', 'Saw']"
2086,Innocence,"['The Day the Earth Stood Still', 'Demolition Man', 'Cube Zero', 'eXistenZ', 'Cypher', 'The Meaning of Life', 'Red Planet', 'Sphere', 'Innocence', 'Strange Days', 'Johnny Mnemonic', 'Akira', 'Kôkaku kidôtai', 'Hackers', 'RoboCop', 'Robot Stories', 'Mystery Science Theater 3000: The Movie', 'Waking Life', 'Artificial Intelligence: AI']"
2087,The Weather Man,"['The In-Laws', 'Gangs of New York', 'Regarding Henry', 'Autumn in New York', ""Ocean's Twelve"", 'Star Trek VI: The Undiscovered Country', 'Escape from New York', 'Moonstruck', 'Ghostbusters II', 'The Ballad of Jack and Rose', 'Big Daddy', ""Who's That Girl"", 'The Out-of-Towners', 'Home Alone 2: Lost in New York', 'Stranger Than Paradise', 'Save the Last Dance', 'Sea of Love', 'The Prince of Tides', 'Annie', 'Hurlyburly', ""Gentleman's Agreement"", 'American Gangster', 'Alvin and the Chipmunks', 'Tonari no Totoro', 'Everyone Says I Love You', 'Coming to America', 'Ghost', 'One Fine Day', 'Fools Rush In', 'The Bone Collector', 'King Kong', 'Fast Food Fast Women', 'Dan in Real Life', 'Father of the Bride', 'Say Anything...', 'Alex & Emma', 'Mad Hot Ballroom', 'Waking the Dead', 'Serpico', 'Mighty Aphrodite', 'In & Out', 'The Night Listener', 'I Am Legend', 'Big', 'How to Lose a Guy in 10 Days', 'Ghost Busters', 'A Home at the End of the World', 'End of Days', 'The Warriors', 'The Weather Man', '50 First Dates', 'Lionheart', 'Capturing the Friedmans', 'American Dreams', 'Arsenic and Old Lace', 'Raging Bull', 'The Wiz', 'Freaks', 'Midnight Cowboy', 'Hello, Dolly!', 'I Am Sam', 'Desperately Seeking Susan', 'To Wong Foo Thanks for Everything, Julie Newmar', 'Splash', 'Enchanted']"
2088,Reign Over Me,"['Collateral Damage', 'Prozac Nation', 'The Accidental Tourist', 'Reign Over Me', 'Ôdishon', 'The Hours', 'The Searchers', 'Todo sobre mi madre', 'The Fountain', 'P.S. I Love You', 'The Machinist', 'Message in a Bottle', 'Terms of Endearment']"
2089,Mr. Brooks,"['Scream 3', 'M', 'Frenzy', 'Double Indemnity', 'Haute tension', 'Volver', 'The Silence of the Lambs', 'Bad Boys', 'Kind Hearts and Coronets', 'In a Lonely Place', 'The Big Sleep', 'Four Brothers', 'The Bone Collector', 'The Family Stone', 'Dead Again', 'Identity', 'The Life of David Gale', 'Malice', 'Touch of Evil', 'Halloween 5', 'The Amityville Horror', 'A Nightmare on Elm Street', 'Sweeney Todd: The Demon Barber of Fleet Street', 'Chain Reaction', 'American Ninja', 'A Shot in the Dark', ""Child's Play 2"", 'Diva', 'Death Proof', 'Saw II', 'Kiss the Girls', 'Body Heat', 'Rope', 'Charade', 'The Maltese Falcon', 'The Mexican', 'Chinjeolhan geumjassi', 'The Hitcher', 'Friday the 13th Part 2', 'L.A. Confidential', 'Taking Lives', 'Frequency', 'Mr. Brooks', 'No Way Out', 'Swimming Pool', 'U.S. Marshals', 'And Then There Were None', 'Strangers on a Train', 'Friday the 13th', 'The Number 23', 'Kate & Leopold', 'What Lies Beneath', '12 Angry Men', 'Fallen', 'Proof', 'Zodiac', 'Urban Legends: Final Cut', 'Copycat', 'Natural Born Killers', 'Kagemusha', 'Murder by Numbers', 'The Tragedy of Macbeth', 'Vacancy', 'Scream', 'Air Force One', ""Child's Play 3"", 'Manhunter', 'The Frighteners', 'À bout de souffle', 'Memento', 'See No Evil, Hear No Evil', 'Hot Fuzz', 'The Cell', 'Snow Falling on Cedars', 'In the Heat of the Night', 'Road to Perdition', 'The Constant Gardener', ""The General's Daughter"", 'Witness', 'The Spanish Prisoner', 'Death at a Funeral', 'Frailty']"
